id,audio_url,title,artist,album,duration,release_year,cover
8p8ZIE3riEU,https://www.youtube.com/watch?v=8p8ZIE3riEU,Gud Naal | Ek Ladki Ko Dekha Toh Aisa Laga | Anil Kapoor | Sonam | Rajkummar |Juhi| Navraj|Harshdeep,Saregama Music,,145,,https://i.ytimg.com/vi_webp/8p8ZIE3riEU/maxresdefault.webp
0I2ANzEtaa0,https://www.youtube.com/watch?v=0I2ANzEtaa0,Beggin (original Version),"Madcon, Bob Gaudio, Peggy Farina",So Dark The Con Of Man,216,2007.0,https://i.ytimg.com/vi_webp/0I2ANzEtaa0/maxresdefault.webp
_XttzFVveo4,https://www.youtube.com/watch?v=_XttzFVveo4,Khwahish,"Mitraz, Arooh",Khwahish,145,2022.0,https://i.ytimg.com/vi_webp/_XttzFVveo4/maxresdefault.webp
6Y24X4oTQLA,https://www.youtube.com/watch?v=6Y24X4oTQLA,Whistle,Flo Rida,Whistle,225,2012.0,https://i.ytimg.com/vi_webp/6Y24X4oTQLA/maxresdefault.webp
y19M5sVCTmY,https://www.youtube.com/watch?v=y19M5sVCTmY,Circles,Yoe Mase,Soldier,198,2018.0,https://i.ytimg.com/vi_webp/y19M5sVCTmY/maxresdefault.webp
pnJriqNxpcc,https://www.youtube.com/watch?v=pnJriqNxpcc,SUBHANALLAH,"SREERAM, SHILPA RAO, PRITAM, AMITABH BHATTACHARYA",YEH JAWAANI HAI DEEWANI,250,2013.0,https://i.ytimg.com/vi_webp/pnJriqNxpcc/maxresdefault.webp
zubWCGv4-Hs,https://www.youtube.com/watch?v=zubWCGv4-Hs,"Maahi Ve (From ""Kal Ho Naa Ho"")","Shankar Ehsaan Loy, Sadhana Sargam, Sujata Bhattacharya, Udit Narayan, Sonu Nigam",Sonu Nigam: Best of Me,367,2003.0,https://i.ytimg.com/vi_webp/zubWCGv4-Hs/maxresdefault.webp
lOQ67YQ56yE,https://www.youtube.com/watch?v=lOQ67YQ56yE,"EDEN - love, death, distraction (official video)",EDEN,,304,,https://i.ytimg.com/vi_webp/lOQ67YQ56yE/maxresdefault.webp
Qmt5nPS5btE,https://www.youtube.com/watch?v=Qmt5nPS5btE,Tera Nishaan,"Pina Colada Blues, Anumita Nadesan",Tera Nishaan,167,2022.0,https://i.ytimg.com/vi_webp/Qmt5nPS5btE/maxresdefault.webp
7bhbshEWzWM,https://www.youtube.com/watch?v=7bhbshEWzWM,all day,KAYDEN,all day,194,2019.0,https://i.ytimg.com/vi_webp/7bhbshEWzWM/maxresdefault.webp
KptF_0yWr_Q,https://www.youtube.com/watch?v=KptF_0yWr_Q,SAWARE,"ARIJIT SINGH, PRITAM, AMITABH BHATTACHARYA",PHANTOM,322,2015.0,https://i.ytimg.com/vi_webp/KptF_0yWr_Q/maxresdefault.webp
N0ngg3KnFVs,https://www.youtube.com/watch?v=N0ngg3KnFVs,Aabaad Barbaad,"Arijit Singh, Pritam, Sandeep Shrivastava",Ludo,309,2020.0,https://i.ytimg.com/vi_webp/N0ngg3KnFVs/maxresdefault.webp
OFwtJ-6a0V4,https://www.youtube.com/watch?v=OFwtJ-6a0V4,Tu Jaana Na Piya,King,NEW LIFE,226,2023.0,https://i.ytimg.com/vi_webp/OFwtJ-6a0V4/maxresdefault.webp
